dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,0
03/04/2020,0
04/04/2020,0
05/04/2020,0
06/04/2020,0
07/04/2020,0
08/04/2020,0
09/04/2020,0
10/04/2020,0
11/04/2020,0
12/04/2020,0
13/04/2020,0
14/04/2020,0
15/04/2020,0
16/04/2020,0
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,0
21/04/2020,0
22/04/2020,0
23/04/2020,0
24/04/2020,0
25/04/2020,0
26/04/2020,0
27/04/2020,0
28/04/2020,0
29/04/2020,0
30/04/2020,0
01/05/2020,1
02/05/2020,1
03/05/2020,1
04/05/2020,1
05/05/2020,1
06/05/2020,1
07/05/2020,1
08/05/2020,1
09/05/2020,1
10/05/2020,1
11/05/2020,1
12/05/2020,1
13/05/2020,2
14/05/2020,2
15/05/2020,2
16/05/2020,2
17/05/2020,2
18/05/2020,2
19/05/2020,2
20/05/2020,3
21/05/2020,3
22/05/2020,3
23/05/2020,4
24/05/2020,4
25/05/2020,4
26/05/2020,4
27/05/2020,4
28/05/2020,5
29/05/2020,5
30/05/2020,5
31/05/2020,6
01/06/2020,6
02/06/2020,6
03/06/2020,7
04/06/2020,7
05/06/2020,8
06/06/2020,8
07/06/2020,8
08/06/2020,8
09/06/2020,8
10/06/2020,9
11/06/2020,10
12/06/2020,10
13/06/2020,10
14/06/2020,11
15/06/2020,11
16/06/2020,11
17/06/2020,11
18/06/2020,12
19/06/2020,13
20/06/2020,13
21/06/2020,13
22/06/2020,14
23/06/2020,14
24/06/2020,14
25/06/2020,14
26/06/2020,15
27/06/2020,15
28/06/2020,15
29/06/2020,15
30/06/2020,16
